rsi_long,rsi_short,allow_slope_or,atr_mult_stop,zone_pad_frac,zz_atr_mult,ext_pref,days,n,netR,pf,maxDD,win%
48,50,False,0.25,0.012,1.7,"('161', '127')",208,328,-8.87954402513514,0.9332896333032368,-24.949862974655723,49.08536585365854
48,50,False,0.25,0.012,1.9,"('161', '127')",208,312,-9.212303028260575,0.9250576739781983,-21.469868650478773,49.67948717948718
48,50,False,0.25,0.015,1.7,"('161', '127')",208,329,-9.345450655435796,0.9299678038295225,-25.08371632813634,48.93617021276596
48,50,False,0.25,0.015,1.9,"('161', '127')",208,313,-9.63562038337183,0.9219926707713035,-21.446552876286397,49.201277955271564
48,50,False,0.3,0.012,1.7,"('161', '127')",208,324,-9.98649078943923,0.9242838522460682,-26.22863712025498,49.382716049382715
48,50,False,0.3,0.015,1.7,"('161', '127')",208,325,-10.248371869408965,0.9225022720728319,-26.15546228262022,49.23076923076923
48,48,False,0.25,0.012,1.7,"('161', '127')",208,322,-12.206387039260362,0.9076015062814692,-24.51579691983258,48.75776397515528
48,48,False,0.25,0.012,1.9,"('161', '127')",208,308,-12.35602258578935,0.8994834331744934,-21.035802595655635,49.35064935064935
48,50,False,0.3,0.012,1.9,"('161', '127')",208,309,-12.372789977729168,0.8993987521465068,-21.7810952161987,48.86731391585761
48,48,False,0.25,0.015,1.7,"('161', '127')",208,323,-12.791645752258459,0.903419231315589,-24.692378017853514,48.60681114551084
48,50,False,0.3,0.015,1.9,"('161', '127')",208,310,-12.798304599771999,0.8964460018134294,-21.75735028912053,48.38709677419355
48,48,False,0.25,0.015,1.9,"('161', '127')",208,309,-12.898692023598047,0.895575741335684,-21.05521456600357,48.86731391585761
50,50,False,0.25,0.012,1.9,"('161', '127')",208,304,-13.088085668538248,0.8926309397203828,-25.270074570518496,49.34210526315789
48,48,False,0.3,0.012,1.7,"('161', '127')",208,318,-13.194687632220525,0.8991954761915263,-25.758332869323077,49.056603773584904
50,50,False,0.25,0.015,1.9,"('161', '127')",208,306,-13.45438234420177,0.890163702773603,-25.189738116878395,49.01960784313725
48,48,False,0.3,0.015,1.7,"('161', '127')",208,319,-13.578447461987707,0.8965380150767297,-25.726939658050128,48.90282131661442
50,50,False,0.25,0.012,1.7,"('161', '127')",208,318,-14.880136431503384,0.8864794457039334,-31.594549503844256,48.742138364779876
50,48,False,0.25,0.012,1.9,"('161', '127')",208,299,-15.231805226067014,0.8740112227360017,-23.836008515695358,49.163879598662206
50,50,False,0.25,0.015,1.7,"('161', '127')",208,320,-15.289022382356315,0.8836610684198545,-31.67138217787715,48.75
48,48,False,0.3,0.012,1.9,"('161', '127')",208,305,-15.423473053894876,0.8745941183638091,-21.3107909652668,48.52459016393443
50,50,False,0.3,0.012,1.9,"('161', '127')",208,301,-15.554923788560867,0.8724605996781502,-25.568656830349276,48.50498338870432
50,48,False,0.25,0.015,1.9,"('161', '127')",208,301,-15.717453984427985,0.8706327707665158,-23.79839980659557,48.837209302325576
50,50,False,0.3,0.015,1.9,"('161', '127')",208,303,-15.924190157320789,0.8700744013009892,-25.488663649988197,48.18481848184818
48,48,False,0.3,0.015,1.9,"('161', '127')",208,306,-15.970866425735156,0.8707760813164266,-21.32882766455043,48.03921568627451
50,50,False,0.3,0.012,1.7,"('161', '127')",208,316,-16.551977085346138,0.8735697325986163,-31.958317843541934,48.41772151898734
50,50,False,0.3,0.015,1.7,"('161', '127')",208,318,-16.757609912032972,0.8723375284085504,-31.828894752624265,48.42767295597484
50,48,False,0.25,0.012,1.7,"('161', '127')",208,311,-17.206979445628605,0.8666939782085101,-30.16048344902112,48.55305466237942
50,48,False,0.3,0.012,1.9,"('161', '127')",208,296,-17.605606864726575,0.8544530631166974,-24.098352579417366,48.310810810810814
50,48,False,0.25,0.015,1.7,"('161', '127')",208,313,-17.73521747917897,0.8629616737157807,-30.280043867594326,48.56230031948881
50,48,False,0.3,0.015,1.9,"('161', '127')",208,298,-18.096751983283944,0.8511338513288241,-24.060141025418098,47.98657718120805
50,48,False,0.3,0.012,1.7,"('161', '127')",208,309,-18.760173928127436,0.8544796094392892,-30.488013592610027,48.22006472491909
50,48,False,0.3,0.015,1.7,"('161', '127')",208,311,-19.087685504611706,0.8523367453005012,-30.400372128054173,48.231511254019296
